"orig_name","canonical_name","corporation_name","beneficiary","city","state","price_mean","bidder_num","auction","institutional"
"John W. Tredwell","John W Tredwell ",,"","","",100,26,"1843-04-02; Loan of 1843",FALSE
"Josiah Bradlee & Co.",,"Josiah Bradlee & Co","","","",100,27,"1843-04-02; Loan of 1843",TRUE
"Massachusetts Fire and Marine Insurance Company",,"Massachusetts Fire and Marine Insurance Company","","","",100,28,"1843-04-02; Loan of 1843",TRUE
"Middletown Bank ",,"Middletown Bank","","","",100,29,"1843-04-02; Loan of 1843",TRUE
"Phineas Upham ","Phineas Upham ",,"","","",100,30,"1843-04-02; Loan of 1843",FALSE
"Provident Institution for Savings, Boston",,"Provident Institution for Savings, Boston","","","",100,31,"1843-04-02; Loan of 1843",TRUE
"Thomas P. Hoopes ","Thomas P Hoopes ",,"","","",100,32,"1843-04-02; Loan of 1843",FALSE
"Timothy C. Leeds ","Timothy C Leeds ",,"","","",100,33,"1843-04-02; Loan of 1843",FALSE
"William Pratt ","William Pratt ",,"","","",100,34,"1843-04-02; Loan of 1843",FALSE
"Fuller, Galvin P.","Galvin P Fuller ",,"","","",102,1,"1847-02-09; Loan of 1847",FALSE
"Poincignor, E.","E Poincignor ",,"","","",102,2,"1847-02-09; Loan of 1847",FALSE
"Dewey, Charles","Charles Dewey ",,"","","",101.5,3,"1847-02-09; Loan of 1847",FALSE
"Mattocks, John","John Mattocks ",,"","","",101.5,4,"1847-02-09; Loan of 1847",FALSE
"Noyes, David P.","David P Noyes ",,"","","",101.5,5,"1847-02-09; Loan of 1847",FALSE
"Goff, Hiram S.","Hiram S Goff ",,"","","",101.1,6,"1847-02-09; Loan of 1847",FALSE
"Best, Anthony","Anthony Best ",,"","","",101,7,"1847-02-09; Loan of 1847",FALSE
"Bradley, W. C. ",,,"","","",101,8,"1847-02-09; Loan of 1847",FALSE
"English, W. H","William H English ",,"","","",101,9,"1847-02-09; Loan of 1847",FALSE
"Ilsley, Isaac","Isaac Ilsley ",,"","","",101,10,"1847-02-09; Loan of 1847",FALSE
"Johnson, Cave ",,,"","","",101,11,"1847-02-09; Loan of 1847",FALSE
"Jones, Philip D. Catesby ",,,"","","",101,12,"1847-02-09; Loan of 1847",FALSE
"Lane, Jesse ",,,"","","",101,13,"1847-02-09; Loan of 1847",FALSE
"Mitchell & Mure",,"Mitchell & Mure","","","",101,14,"1847-02-09; Loan of 1847",TRUE
"Moore, Roger S.","Roger S Moore ",,"","","",101,15,"1847-02-09; Loan of 1847",FALSE
"Paul & Brown",,"Paul & Brown","","","",101,16,"1847-02-09; Loan of 1847",TRUE
"Pennoyer, James.","James Pennoyer ",,"","","",101,17,"1847-02-09; Loan of 1847",FALSE
"Poland, Jenkins & Co .",,"Poland, Jenkins & Co","","","",101,18,"1847-02-09; Loan of 1847",TRUE
"Potter, Barrett ",,,"","","",101,19,"1847-02-09; Loan of 1847",FALSE
"Rosengarter & Denis",,"Rosengarter & Denis","","","",101,20,"1847-02-09; Loan of 1847",TRUE
"Smith, Edwin & Thomas Burton",,"Smith, Edwin & Thomas Burton","","","",101,21,"1847-02-09; Loan of 1847",TRUE
"White, John","John White ",,"","","",101,22,"1847-02-09; Loan of 1847",FALSE
"Chester, Andrew J.","Andrew J Chester ",,"","","",100.8,23,"1847-02-09; Loan of 1847",FALSE
"Leiper, Samuel M.","Samuel M Leiper ",,"","","",100.75,24,"1847-02-09; Loan of 1847",FALSE
"Lamber & McKenzie",,"Lamber & McKenzie","","","",100.6,25,"1847-02-09; Loan of 1847",TRUE
"Morrill, Mrs. Mary","Mary Morrill ",,"","","",100.6,26,"1847-02-09; Loan of 1847",FALSE
"Clapp, Asa","Asa Clapp ",,"","","",100.5,27,"1847-02-09; Loan of 1847",FALSE
"Corbin, Abel Rathburn","Abel Rathburn Corbin ",,"","","",100.5,28,"1847-02-09; Loan of 1847",FALSE
"Dalrymple, W. F.","W F Dalrymple ",,"","","",100.5,29,"1847-02-09; Loan of 1847",FALSE
"Dunbar, Elou","Elou Dunbar ",,"","","",100.5,30,"1847-02-09; Loan of 1847",FALSE
"Grigsby, Hugh B.","Hugh B Grigsby ",,"","","",100.5,31,"1847-02-09; Loan of 1847",FALSE
"Heaton, H. W ",,,"","","",100.5,32,"1847-02-09; Loan of 1847",FALSE
"Hutton, G.M. ",,,"","","",100.5,33,"1847-02-09; Loan of 1847",FALSE
"Jackson, B. L., & Brother",,"Jackson, B L , & Brother","","","",100.5,34,"1847-02-09; Loan of 1847",TRUE
"Jackson, W. B. ",,,"","","",100.5,35,"1847-02-09; Loan of 1847",FALSE
"Knapp, Charles ",,,"","","",100.5,36,"1847-02-09; Loan of 1847",FALSE
"O'Donnell, Columbus ",,,"","","",100.5,37,"1847-02-09; Loan of 1847",FALSE
"Phelps, Warren ",,,"","","",100.5,38,"1847-02-09; Loan of 1847",FALSE
"Reed, Hezekiah H.","Hezekiah H Reed ",,"","","",100.5,39,"1847-02-09; Loan of 1847",FALSE
"Rogers, Evans","Evans Rogers ",,"","","",100.5,40,"1847-02-09; Loan of 1847",FALSE
"Silver, Isaiah.. ",,,"","","",100.5,41,"1847-02-09; Loan of 1847",FALSE
"Thayer, Joseph H.","Joseph H Thayer ",,"","","",100.5,42,"1847-02-09; Loan of 1847",FALSE
"Trustees of the Philip Exeter Academy",,"Trustees of the Philip Exeter Academy","","","",100.5,43,"1847-02-09; Loan of 1847",TRUE
"White, Henry ",,,"","","",100.5,44,"1847-02-09; Loan of 1847",FALSE
"Burrows, R. J. ",,,"","","",100.4,45,"1847-02-09; Loan of 1847",FALSE
"Clagett, Eli","Eli Clagett ",,"","","",100.4,46,"1847-02-09; Loan of 1847",FALSE
"Phelps, John .","John Phelps ",,"","","",100.375,47,"1847-02-09; Loan of 1847",FALSE
"Lake, Joseph S. & Co.",,"Lake, Joseph S & Co","","","",100.36,48,"1847-02-09; Loan of 1847",TRUE
"Albert, Jacob","Jacob Albert ",,"","","",100.3,49,"1847-02-09; Loan of 1847",FALSE
"Thompson, John","John Thompson ",,"","","",100.3,50,"1847-02-09; Loan of 1847",FALSE
"White, L. J.","L J White ",,"","","",100.3,51,"1847-02-09; Loan of 1847",FALSE
"Albree, John","John Albree ",,"","","",100.25,52,"1847-02-09; Loan of 1847",FALSE
"Bank of Metropolis",,"Bank of Metropolis","","","",100.25,53,"1847-02-09; Loan of 1847",TRUE
"Bank of North America, Philadelphia",,"Bank of North America, Philadelphia","","","",100.25,54,"1847-02-09; Loan of 1847",TRUE
"Bayly, William F. ",,,"","","",100.25,55,"1847-02-09; Loan of 1847",FALSE
"Blake, John B.","John B Blake ",,"","","",100.25,56,"1847-02-09; Loan of 1847",FALSE
"Cohen, I","I Cohen ",,"","","",100.25,57,"1847-02-09; Loan of 1847",FALSE
"Haddock, Daniel, Jr.","Daniel Haddock Jr.",,"","","",100.25,58,"1847-02-09; Loan of 1847",FALSE
"Harris, Thomas D.","Thomas D Harris ",,"","","",100.25,59,"1847-02-09; Loan of 1847",FALSE
"Haseltine, Jno.","John Haseltine ",,"","","",100.25,60,"1847-02-09; Loan of 1847",FALSE
"Millard, J. Edmund","J Edmund Millard ",,"","","",100.25,61,"1847-02-09; Loan of 1847",FALSE
"Newell, L.","Lott Newell ",,"","","",100.25,62,"1847-02-09; Loan of 1847",FALSE
"Osborn, Isaac","Isaac Osborn ",,"","","",100.25,63,"1847-02-09; Loan of 1847",FALSE
"Owen, W. L.","W L Owen ",,"","","",100.25,64,"1847-02-09; Loan of 1847",FALSE
"Parker, George & Thomas",,"Parker, George & Thomas","","","",100.25,65,"1847-02-09; Loan of 1847",TRUE
"Provident Institution for Saving for Salisbury and Amesbury ",,"Provident Institution for Savings","Salisbury and Amesbury ","","",100.25,66,"1847-02-09; Loan of 1847",TRUE
"Reily, Barbara ",,,"","","",100.25,67,"1847-02-09; Loan of 1847",FALSE
"Sears, Joshua","Joshua Sears ",,"","","",100.25,68,"1847-02-09; Loan of 1847",FALSE
"Silver, Isaiah","Isaiah Silver ",,"","","",100.25,69,"1847-02-09; Loan of 1847",FALSE
"Smith, Albert","Albert Smith ",,"","","",100.25,70,"1847-02-09; Loan of 1847",FALSE
"Smith, Richard, (for sundry persons)","Richard Smith ",,"","","",100.25,71,"1847-02-09; Loan of 1847",FALSE
"Vose, F. ",,,"","","",100.25,72,"1847-02-09; Loan of 1847",FALSE
"Warren, J. W. ",,,"","","",100.25,73,"1847-02-09; Loan of 1847",FALSE
"White, Arthur E. ",,,"","","",100.25,74,"1847-02-09; Loan of 1847",FALSE
"Riggs, E.","E Riggs ",,"","","",100.15,75,"1847-02-09; Loan of 1847",FALSE
"Bank of Northern Liberties",,"Bank of Northern Liberties","","","",100.125,76,"1847-02-09; Loan of 1847",TRUE
"Benson, Alexander & Co.",,"Benson, Alexander & Co","","","",100.125,77,"1847-02-09; Loan of 1847",TRUE
"Corcoran & Riggs",,"Corcoran & Riggs","","","",100.125,78,"1847-02-09; Loan of 1847",TRUE
"Southgate, Isaac ",,,"","","",100.125,79,"1847-02-09; Loan of 1847",FALSE
"Wood, Robert Serrill","Robert Serrill Wood ",,"","","",100.125,80,"1847-02-09; Loan of 1847",FALSE
"Budd, J.B ",,,"","","",100.1,81,"1847-02-09; Loan of 1847",FALSE
"Goodwin, Jeremiah","Jeremiah Goodwin ",,"","","",100.1,82,"1847-02-09; Loan of 1847",FALSE
"Insurance Company ofthe State of Pennsylvania",,"Insurance Company ofthe State of Pennsylvania","","","",100.1,83,"1847-02-09; Loan of 1847",TRUE
"Richardson, John.","John Richardson ",,"","","",100.1,84,"1847-02-09; Loan of 1847",FALSE
"Steward, John","John Steward ",,"","","",100.1,85,"1847-02-09; Loan of 1847",FALSE
"Bank, New York State Stock Security",,"Bank, New York State Stock Security","","","",100.0833333333,86,"1847-02-09; Loan of 1847",TRUE
"Chubb & Schenck",,"Chubb & Schenck","","","",100.0788732394,87,"1847-02-09; Loan of 1847",TRUE
"Henshaiw, David. ",,,"","","",100.0625,88,"1847-02-09; Loan of 1847",FALSE
"Ohio Life Insurance and TrUst Company of New York.",,"Ohio Life Insurance and Trust Company of New York","","","",100.05,89,"1847-02-09; Loan of 1847",TRUE
"Winslow & Perkins, two-thirds of loan not absolutely subscribed for",,"Winslow & Perkins, two-thirds of loan not absolutely subscribed for","","","",100.05,90,"1847-02-09; Loan of 1847",TRUE
"Hamilton, John P.","John P Hamilton ",,"","","",100.03825,91,"1847-02-09; Loan of 1847",FALSE
"Cohen, I.","I Cohen ",,"","","",100.0233333333,92,"1847-02-09; Loan of 1847",FALSE
"Paul, Comgys ",,,"","","",100.01,93,"1847-02-09; Loan of 1847",FALSE
"Richardson, John","John Richardson ",,"","","",100.01,94,"1847-02-09; Loan of 1847",FALSE
"Suydam, Lambert","Lambert Suydam ",,"","","",100.01,95,"1847-02-09; Loan of 1847",FALSE
"Ward, John, & M. Morgan",,"Ward, John, & M Morgan","","","",100.0005,96,"1847-02-09; Loan of 1847",TRUE
"Alnut, James W ",,,"","","",100,97,"1847-02-09; Loan of 1847",FALSE
"Bank, Franklin, Washington, Pennsylvania",,"Bank, Franklin, Washington, Pennsylvania","","","",100,98,"1847-02-09; Loan of 1847",TRUE
"Bank, Piscataqua, Exchange",,"Bank, Piscataqua, Exchange","","","",100,99,"1847-02-09; Loan of 1847",TRUE
"Bank, Savings, Buffalo",,"Bank, Savings, Buffalo","","","",100,100,"1847-02-09; Loan of 1847",TRUE
"Bank, State, at Charlestown",,"Bank, State, at Charlestown","","","",100,101,"1847-02-09; Loan of 1847",TRUE
"Bank, Troy City",,"Bank, Troy City","","","",100,102,"1847-02-09; Loan of 1847",TRUE
"Barhydt, D. P. ",,,"","","",100,103,"1847-02-09; Loan of 1847",FALSE
"Barnard, Henry.","Henry Barnard ",,"","","",100,104,"1847-02-09; Loan of 1847",FALSE
"Bishop, James","James Bishop ",,"","","",100,105,"1847-02-09; Loan of 1847",FALSE
"Bodmer, Henry, Jr.","Henry Bodmer Jr.",,"","","",100,106,"1847-02-09; Loan of 1847",FALSE
"Bradlee, Josiah","Josiah Bradlee ",,"","","",100,107,"1847-02-09; Loan of 1847",FALSE
"Bridge, M.","M Bridge ",,"","","",100,108,"1847-02-09; Loan of 1847",FALSE
"Brodhead, Richard","Richard Brodhead ",,"","","",100,109,"1847-02-09; Loan of 1847",FALSE
"Bull, G. W.","G W Bull ",,"","","",100,110,"1847-02-09; Loan of 1847",FALSE
"Burrows, R. I. ",,,"","","",100,111,"1847-02-09; Loan of 1847",FALSE
"Camman & Whitehouse",,"Camman & Whitehouse","","","",100,112,"1847-02-09; Loan of 1847",TRUE
"Campbell, John","John Campbell ",,"","","",100,113,"1847-02-09; Loan of 1847",FALSE
"Cherry, William, jr.","William Cherry Jr.",,"","","",100,114,"1847-02-09; Loan of 1847",FALSE
"Clark, M. M. ",,,"","","",100,115,"1847-02-09; Loan of 1847",FALSE
"Delafield, H. & W.",,"Delafield, H & W","","","",100,116,"1847-02-09; Loan of 1847",TRUE
"Denison, Marcus","Marcus Denison ",,"","","",100,117,"1847-02-09; Loan of 1847",FALSE
"Dewey, J. Y.","Julius Y Dewey ",,"","","",100,118,"1847-02-09; Loan of 1847",FALSE
"Dohnert, John H.","John H Dohnert ",,"","","",100,119,"1847-02-09; Loan of 1847",FALSE
"Dowdney, John ",,,"","","",100,120,"1847-02-09; Loan of 1847",FALSE
"Duhring, Henry","Henry Duhring ",,"","","",100,121,"1847-02-09; Loan of 1847",FALSE
"English, William H.","William H English ",,"","","",100,122,"1847-02-09; Loan of 1847",FALSE
"Euston, William ",,,"","","",100,123,"1847-02-09; Loan of 1847",FALSE
"Fairfax, Henry, sr.","Henry Fairfax sr.",,"","","",100,124,"1847-02-09; Loan of 1847",FALSE
"Gaiiagher, James G.","James G Gaiiagher ",,"","","",100,125,"1847-02-09; Loan of 1847",FALSE
"Gardner, John ",,,"","","",100,126,"1847-02-09; Loan of 1847",FALSE
"Goodwin, Nathaniel ",,,"","","",100,127,"1847-02-09; Loan of 1847",FALSE
"Hammond, David","David Hammond ",,"","","",100,128,"1847-02-09; Loan of 1847",FALSE
"Harris, John S.","John S Harris ",,"","","",100,129,"1847-02-09; Loan of 1847",FALSE
"Harrison, H. T.","H T Harrison ",,"","","",100,130,"1847-02-09; Loan of 1847",FALSE
"Holbrook, S. A ",,,"","","",100,131,"1847-02-09; Loan of 1847",FALSE
"Homes, George. ",,,"","","",100,132,"1847-02-09; Loan of 1847",FALSE
"Hooper, R. C.","R C Hooper ",,"","","",100,133,"1847-02-09; Loan of 1847",FALSE
"Hubbard, Henry","Henry Hubbard ",,"","","",100,134,"1847-02-09; Loan of 1847",FALSE
"Huger, Alfred.","Alfred Huger ",,"","","",100,135,"1847-02-09; Loan of 1847",FALSE
"Hutchinson, Hiram","Hiram Hutchinson ",,"","","",100,136,"1847-02-09; Loan of 1847",FALSE
"Hutchinson, Hiram, (for John Springs) ",,,"","","",100,137,"1847-02-09; Loan of 1847",FALSE
"Ingoldsby, Felix","Felix Ingoldsby ",,"","","",100,138,"1847-02-09; Loan of 1847",FALSE
"Insurance Company of South Carolina",,"Insurance Company of South Carolina","","","",100,139,"1847-02-09; Loan of 1847",TRUE
"Jackson, John","John Jackson ",,"","","",100,140,"1847-02-09; Loan of 1847",FALSE
"Johnson, Ralph C.","Ralph C Johnson ",,"","","",100,141,"1847-02-09; Loan of 1847",FALSE
"Jones, Isaac, (as executor)",,"Jones, Isaac","","","",100,142,"1847-02-09; Loan of 1847",TRUE
"Jones, Isaac, (as trustee)",,"Jones, Isaac","","","",100,143,"1847-02-09; Loan of 1847",TRUE
"Kellogg, John.","John Kellogg ",,"","","",100,144,"1847-02-09; Loan of 1847",FALSE
"Kent, M.","M Kent ",,"","","",100,145,"1847-02-09; Loan of 1847",FALSE
"Langdon, James R.","James R Langdon ",,"","","",100,146,"1847-02-09; Loan of 1847",FALSE
"Lighthall, William ",,,"","","",100,147,"1847-02-09; Loan of 1847",FALSE
"Linebach, Charles F.","Charles F Linebach ",,"","","",100,148,"1847-02-09; Loan of 1847",FALSE
"Looper, R. F.","R F Looper ",,"","","",100,149,"1847-02-09; Loan of 1847",FALSE
"Loud, Jacob H.","Jacob H Loud ",,"","","",100,150,"1847-02-09; Loan of 1847",FALSE
"Lovell, Warren.","Warren Lovell ",,"","","",100,151,"1847-02-09; Loan of 1847",FALSE
"Martin & Co.",,"Martin & Co","","","",100,152,"1847-02-09; Loan of 1847",TRUE
"McKenzie, Lewis ",,,"","","",100,153,"1847-02-09; Loan of 1847",FALSE
"Mcintosh, George ",,,"","","",100,154,"1847-02-09; Loan of 1847",FALSE
"Mims, Caswell ",,,"","","",100,155,"1847-02-09; Loan of 1847",FALSE
"Moye, Wyatt","Wyatt Moye ",,"","","",100,156,"1847-02-09; Loan of 1847",FALSE
"Neely, John","John Neely ",,"","","",100,157,"1847-02-09; Loan of 1847",FALSE
"O' Donnell, Columbus ",,,"","","",100,158,"1847-02-09; Loan of 1847",FALSE
"Openheim, H. W.","H W Openheim ",,"","","",100,159,"1847-02-09; Loan of 1847",FALSE
"Otis, H. G. ",,,"","","",100,160,"1847-02-09; Loan of 1847",FALSE
"Patchin, A. D. ",,,"","","",100,161,"1847-02-09; Loan of 1847",FALSE
"Paul & Brown J.",,"Paul & Brown J","","","",100,162,"1847-02-09; Loan of 1847",TRUE
"Penn, Daniel","Daniel Penn ",,"","","",100,163,"1847-02-09; Loan of 1847",FALSE
"Phelps, Lancelot ",,,"","","",100,164,"1847-02-09; Loan of 1847",FALSE
"Phelps, Warren","Warren Phelps ",,"","","",100,165,"1847-02-09; Loan of 1847",FALSE
"Phelps, Warren","Warren Phelps ",,"","","",100,165,"1847-02-09; Loan of 1847",FALSE
"Porter, M. K.","M K Porter ",,"","","",100,166,"1847-02-09; Loan of 1847",FALSE
"Prait, E., & Brother",,"Prait, E , & Brother","","","",100,167,"1847-02-09; Loan of 1847",TRUE
"Prentis, Samuel.","Samuel Prentis ",,"","","",100,168,"1847-02-09; Loan of 1847",FALSE
"Purdy, Elijah F.","Elijah F Purdy ",,"","","",100,169,"1847-02-09; Loan of 1847",FALSE
"Rawlings, W. C. ",,,"","","",100,170,"1847-02-09; Loan of 1847",FALSE
"Raymond, Edward A. ",,,"","","",100,171,"1847-02-09; Loan of 1847",FALSE
"Reid, Thomas ",,,"","","",100,172,"1847-02-09; Loan of 1847",FALSE
"Riordan, James. ",,,"","","",100,173,"1847-02-09; Loan of 1847",FALSE
"Sanders, George N. , ",,,"","","",100,174,"1847-02-09; Loan of 1847",FALSE
"Schroeder, Henry C. J.","Henry C J Schroeder ",,"","","",100,175,"1847-02-09; Loan of 1847",FALSE
"Scott, John M.","John M Scott ",,"","","",100,176,"1847-02-09; Loan of 1847",FALSE
"Shattuch, George C. ",,,"","","",100,177,"1847-02-09; Loan of 1847",FALSE
"Smith, James","James Smith ",,"","","",100,178,"1847-02-09; Loan of 1847",FALSE
"Thayer, J. E., & Brother.",,"Thayer, J E , & Brother","","","",100,179,"1847-02-09; Loan of 1847",TRUE
"Travers, John","John Travers ",,"","","",100,180,"1847-02-09; Loan of 1847",FALSE
"Tunis, John","John Tunis ",,"","","",100,181,"1847-02-09; Loan of 1847",FALSE
"Waters, F. G., (trustee)",,"Waters, F G , (trustee)","","","",100,182,"1847-02-09; Loan of 1847",TRUE
"White, Arthur E.","Arthur E White ",,"","","",100,183,"1847-02-09; Loan of 1847",FALSE
"White, Arthur E.","Arthur E White ",,"","","",100,183,"1847-02-09; Loan of 1847",FALSE
"White, J ",,,"","","",100,184,"1847-02-09; Loan of 1847",FALSE
"White, L. J ",,,"","","",100,185,"1847-02-09; Loan of 1847",FALSE
"Wilkins, Jeremiah H.","Jeremiah H Wilkins ",,"","","",100,186,"1847-02-09; Loan of 1847",FALSE
"Wilkinson, J.","J Wilkinson ",,"","","",100,187,"1847-02-09; Loan of 1847",FALSE
"Wilson, G. B.","G B Wilson ",,"","","",100,188,"1847-02-09; Loan of 1847",FALSE
"Winslow & Perkins",,"Winslow & Perkins","","","",100,189,"1847-02-09; Loan of 1847",TRUE
"Wolff, C ",,,"","","",100,190,"1847-02-09; Loan of 1847",FALSE
"Wright, William.","William Wright ",,"","","",100,191,"1847-02-09; Loan of 1847",FALSE
"T.J. Abott","T J Abott ",,"","","",104,1,"1848-04-17; Loan of 1848",FALSE
"W.C. Bestor","W C Bestor ",,"","","",103.7425,2,"1848-04-17; Loan of 1848",FALSE
"Samuel Keith","Samuel Keith ",,"","","",103.63,3,"1848-04-17; Loan of 1848",FALSE
"Charles Guantt","Charles Guantt ",,"","","",103.5,4,"1848-04-17; Loan of 1848",FALSE
"H.M. Prevost","H M Prevost ",,"","","",103.425,5,"1848-04-17; Loan of 1848",FALSE
"E.W. Clark & Brothers",,"E W Clark & Brothers","","","",103.4168421053,6,"1848-04-17; Loan of 1848",TRUE
"J.P. Hamilton","John P Hamilton ",,"","","",103.41,7,"1848-04-17; Loan of 1848",FALSE
"James C. McGuire","James C McGuire ",,"","","",103.3033333333,8,"1848-04-17; Loan of 1848",FALSE
"H.M. Prevost for H. Hough","H M Prevost ",,"H. Hough","","",103.3,9,"1848-04-17; Loan of 1848",FALSE
"Lott Newell","Lott Newell ",,"","","",103.28,10,"1848-04-17; Loan of 1848",FALSE
"H.M. Wilson","H M Wilson ",,"","","",103.25,11,"1848-04-17; Loan of 1848",FALSE
"J.B.B. Hale","J BB Hale ",,"","","",103.25,12,"1848-04-17; Loan of 1848",FALSE
"A.R. Corbin","Abel Rathburn Corbin ",,"","","",103.1666666667,13,"1848-04-17; Loan of 1848",FALSE
"J.P. Pleasants","J P Pleasants ",,"","","",103.09,14,"1848-04-17; Loan of 1848",FALSE
"Samuel L. Brooks","Samuel L Brooks ",,"","","",103.06,15,"1848-04-17; Loan of 1848",FALSE
"Corcoran & Riggs, for selves and Baring, Brothers & Co., London, and others",,"Corcoran & Riggs","selves and Baring, Brothers & Co., London, and others","","",103.02,16,"1848-04-17; Loan of 1848",TRUE
"H.R. Schoolcraft","H R Schoolcraft ",,"","","",103.02,17,"1848-04-17; Loan of 1848",FALSE
"Winslow & Perkins",,"Winslow & Perkins","","","",103.02,18,"1848-04-17; Loan of 1848",TRUE
"E.T. Kendall","E T Kendall ",,"","","",103.01,19,"1848-04-17; Loan of 1848",FALSE
"Joseph Pugh","Joseph Pugh ",,"","","",103.01,20,"1848-04-17; Loan of 1848",FALSE
"W.L. Marcy for Indian trust fund","W L Marcy ",,"Indian trust fund","","",103.01,21,"1848-04-17; Loan of 1848",FALSE
"W.R. Morgan","W R Morgan ",,"","","",103.0071428571,22,"1848-04-17; Loan of 1848",FALSE
"John A. Grinstead","John A Grinstead ",,"","","",103,23,"1848-04-17; Loan of 1848",FALSE
"Stephen Poulterer","Stephen Poulterer ",,"","","",103,24,"1848-04-17; Loan of 1848",FALSE
"John P. Hamilton","John P Hamilton ",,"","","",102.98,25,"1848-04-17; Loan of 1848",FALSE
"John M. Atwood, for Colin M. Reed","John M Atwood ",,"Colin M. Reed","","",102.91,26,"1848-04-17; Loan of 1848",FALSE
"T. & B. Nye",,"T & B Nye","","","",102.8,27,"1848-04-17; Loan of 1848",TRUE
"John E. Kendall","John E Kendall ",,"","","",102.76,28,"1848-04-17; Loan of 1848",FALSE
"C.F. Duncan","CF Duncan ",,"","","",102.75,29,"1848-04-17; Loan of 1848",FALSE
"Chubb & Schenck",,"Chubb & Schenck","","","",102.7171428571,30,"1848-04-17; Loan of 1848",TRUE
"Thomas P. Bayley","Thomas P Bayley ",,"","","",102.7038461538,31,"1848-04-17; Loan of 1848",FALSE
"G. & T. Parker",,"G & T Parker","","","",102.675,32,"1848-04-17; Loan of 1848",TRUE
"J.E. Millard","J Edmund Millard ",,"","","",102.65,33,"1848-04-17; Loan of 1848",FALSE
"Elijah Hise","Elijah Hise ",,"","","",102.625,34,"1848-04-17; Loan of 1848",FALSE
"W.S. Gittings","W S Gittings ",,"","","",102.61875,35,"1848-04-17; Loan of 1848",FALSE
"J.P. Durbin","J P Durbin ",,"","","",102.61,36,"1848-04-17; Loan of 1848",FALSE
"James Dunlap","James Dunlap ",,"","","",102.55,37,"1848-04-17; Loan of 1848",FALSE
"John S. Gittings","John S Gittings ",,"","","",102.545,38,"1848-04-17; Loan of 1848",FALSE
"W.A. Budd","W A Budd ",,"","","",102.51,39,"1848-04-17; Loan of 1848",FALSE
"A.B. Neilson for Mutual Insurance Company, New York",,"A B Neilson","Mutual Insurance Company, New York","","",102.5,40,"1848-04-17; Loan of 1848",TRUE
"F.B. Cassing & B.B. Mosley",,"F B Cassing & B B Mosley","","","",102.5,41,"1848-04-17; Loan of 1848",TRUE
"G.F. Gruel","G F Gruel ",,"","","",102.5,42,"1848-04-17; Loan of 1848",FALSE
"E.W. Clarke & Brothers",,"E W Clark & Brothers","","","",102.4953846154,43,"1848-04-17; Loan of 1848",TRUE
"Looe Baker","Looe Baker ",,"","","",102.3683333333,44,"1848-04-17; Loan of 1848",FALSE
